,df,Plant type,Treatment,Dose ,Plant_Height_BF (cm),Stem_countperPot_BF (no.),Fresh_biomass_BF (gm),Dry_biomass_BF (gm),Fresh_biomass_AF_30days(gm),Dry_biomass_AF_30days(gm),Plant_Height_Harvestday(cm),Stem_count_HarvestDay(no.),Root Length (cm),Nodules Count(no.),Fresh Biomass_harvestday (gm),Shoot Biomass_harvestday dry ,Root Biomass_harvestday(gm),Root Biomass_harvestday dry ,R:S ratio,P(g/kg) dw soil,NH4(g/kg) dw soil,NO3(g/kg) dw soil
10,B,P,2,UF_200,14.100,10.000,37.000,4.400,34.200,4.530,56.000,53.000,26.000,0.000,8.810,7.090,10.290,4.960,0.700,2.316,1.866,0.973
11,B,P,3,MF_100,11.400,8.000,15.000,4.670,10.250,4.510,39.500,25.000,28.000,0.000,41.970,29.620,29.240,7.600,0.257,1.448,0.096,0.160
12,B,P,3,MF_100,13.000,7.000,11.500,4.840,8.780,3.940,39.000,15.000,24.000,0.000,33.050,27.700,22.200,7.220,0.261,2.068,0.107,0.124
13,B,P,3,MF_100,18.000,12.000,14.500,4.910,8.350,4.470,39.300,23.000,26.000,0.000,35.770,27.770,33.520,9.760,0.351,1.731,0.097,0.161
14,B,P,3,MF_100,16.000,7.000,15.500,4.510,11.800,4.480,53.600,15.000,26.000,0.000,29.220,25.870,15.410,5.580,0.216,1.424,0.154,0.142
15,B,P,3,MF_100,15.000,6.000,13.250,4.670,8.950,4.460,46.000,12.000,25.000,0.000,32.840,26.770,14.240,5.380,0.201,1.766,0.108,0.116
16,B,P,4,MF_200,14.500,9.000,14.000,4.580,9.840,4.450,39.000,17.000,23.000,0.000,39.790,29.160,21.880,7.300,0.250,2.079,0.450,0.094
17,B,P,4,MF_200,10.500,7.000,15.000,4.640,9.390,4.480,37.900,18.000,22.000,0.000,37.970,29.470,23.640,7.620,0.259,1.823,0.304,0.151
18,B,P,4,MF_200,12.200,9.000,14.000,4.590,9.180,4.430,37.600,22.000,22.000,0.000,37.610,29.930,28.270,8.740,0.292,1.567,0.352,0.159
19,B,P,4,MF_200,12.800,9.000,14.500,4.510,8.830,4.410,33.000,20.000,23.000,0.000,37.430,29.170,32.540,9.270,0.318,1.795,0.592,0.146
20,B,P,4,MF_200,11.100,9.000,13.500,4.740,8.280,4.530,37.800,20.000,21.000,0.000,42.670,30.440,33.960,10.390,0.341,1.900,0.414,0.142
21,B,P,5,C,10.400,9.000,15.200,4.320,10.000,4.360,45.100,19.000,20.000,0.000,29.640,26.790,12.680,5.530,0.206,1.545,0.003,0.045
22,B,P,5,C,10.500,6.000,16.320,4.320,13.320,4.300,59.300,10.000,21.000,0.000,29.600,26.620,16.710,6.540,0.246,1.449,0.885,0.786
23,B,P,5,C,11.800,3.000,10.000,4.730,9.360,4.410,46.500,11.000,22.000,0.000,29.580,27.120,13.840,5.780,0.213,1.114,-0.004,0.046
24,B,P,5,C,11.800,4.000,10.500,4.420,7.300,4.430,44.200,17.000,24.000,0.000,6.080,5.530,9.630,4.940,0.893,1.685,0.091,0.187
25,B,P,5,C,12.200,7.000,10.530,4.520,7.070,4.760,42.200,16.000,25.000,0.000,6.480,5.960,11.930,6.300,1.057,1.431,0.602,0.258
